Jornada_num,team_a,team_b,win,NET_diff,OER_diff,DER_diff,eFG_diff,ORB_diff,AST_diff,TOV_diff,pos_part_diff
4,979919,979952,0,-5.975625687319778,4.974276801852753,10.949902489172501,4.361471861471848,6.137110016420348,-10.82820638958637,1.7278286727682737,2.180000000000007
5,981242,981306,0,-3.574034094034803,-7.555776349622839,-3.9817422555879958,-4.555942511280968,-3.587200646024165,1.1044476303837047,1.0489681980310142,-4.126666666666665
5,979971,981288,1,8.175934617281648,8.919571599859495,0.7436369825778684,5.702275920929829,1.681756839651566,2.2254409648869977,-4.23898125753932,-2.4066666666666663
5,979988,981206,0,-4.164273350683594,-5.058679998491272,-0.8944066478076991,-4.546376564992904,-7.838759275445664,-0.22089399273765764,0.9207787939943692,4.506666666666675
5,979952,979971,0,-0.17272624351793553,-6.921029182312296,-6.748302938794339,-8.411333511141933,-4.536869711311898,2.0892833201443324,1.7428204253527557,1.3466666666666782
5,981206,979988,1,4.164273350683594,5.058679998491272,0.8944066478076991,4.546376564992904,7.838759275445664,0.22089399273765764,-0.9207787939943692,-4.506666666666675
5,981288,979971,0,-8.175934617281648,-8.919571599859495,-0.7436369825778684,-5.702275920929829,-1.681756839651566,-2.2254409648869977,4.23898125753932,2.4066666666666663
5,981213,979912,1,14.34377377606242,4.544456545320095,-9.799317230742368,5.598506099241334,4.580772554664598,1.485796424695204,2.036215269383421,1.4399999999999977
5,981208,979952,1,-13.316370758330812,-2.0644833245198697,11.251887433810936,-2.8592536372856614,8.459231673770098,-1.9790470485144631,1.1521913119352707,0.9466666666666583
5,979919,981346,1,5.718657165963824,1.0731574927133067,-4.645499673250569,-0.06821830957567698,-12.289971810095668,-5.376371618717847,-2.4279358827510062,0.45333333333334735
5,979770,981492,0,13.45490385546905,5.338310935019898,-8.116592920449165,4.564087248513495,4.045859045859036,2.541706279998099,3.1503533718362267,-5.159999999999997
5,981334,981356,0,13.761201420653009,12.936741701175535,-0.824459719477467,15.046548433645192,9.269024029626003,14.691326065369772,-0.10685619158850912,5.966666666666654
5,981306,981242,1,3.574034094034803,7.555776349622839,3.9817422555879958,4.555942511280968,3.587200646024165,-1.1044476303837047,-1.0489681980310142,4.126666666666665
5,981346,979919,0,-5.718657165963824,-1.0731574927133067,4.645499673250569,0.06821830957567698,12.289971810095668,5.376371618717847,2.4279358827510062,-0.45333333333334735
5,981356,981334,1,-13.761201420653009,-12.936741701175535,0.824459719477467,-15.046548433645192,-9.269024029626003,-14.691326065369772,0.10685619158850912,-5.966666666666654
5,979912,981213,0,-14.34377377606242,-4.544456545320095,9.799317230742368,-5.598506099241334,-4.580772554664598,-1.485796424695204,-2.036215269383421,-1.4399999999999977
5,981492,979770,1,-13.45490385546905,-5.338310935019898,8.116592920449165,-4.564087248513495,-4.045859045859036,-2.541706279998099,-3.1503533718362267,5.159999999999997
6,981492,981288,1,3.7489254034166817,4.752712602533649,1.003787199116978,-2.160967471484952,-2.014153000995101,0.6603279563603976,-4.329335370093094,1.7194444444444485
6,979912,979919,0,-5.711250523148938,-6.020871898233928,-0.30962137508494436,-5.3929593565055,2.1541706237778726,-0.37872993046845416,-0.25403313237936054,-2.6850000000000023
6,981346,981208,0,-5.497107165226627,-0.7464662804646807,4.75064088476195,3.4836686990527284,-0.41783681961282326,-2.062124499326151,2.8455343183868766,4.424999999999997
6,981306,981356,0,-7.475990628209416,1.6706868768782712,9.146677505087695,3.127678092268276,0.9431757961169502,5.923343811190174,-0.15470938343679386,7.0449999999999875
6,981242,981213,0,-22.097449004782987,-8.907164232726927,13.190284772056124,-7.520647276495325,-5.321702469871173,3.1014581596125925,-0.10254388687072158,-2.9250000000000114
6,979952,981492,0,3.5114256248433136,-1.4862704828923512,-4.997696107735649,3.0420702064277023,-1.9790335046020004,1.6714522836263512,2.676392914691423,-2.7194444444444485
6,979971,979988,1,11.885511312877126,12.771178926203334,0.8856676133262269,12.842710147680876,0.5642396404827998,6.194396200921766,-3.396893753506207,-3.180000000000007
6,979988,979971,0,-11.885511312877126,-12.771178926203334,-0.8856676133262269,-12.842710147680876,-0.5642396404827998,-6.194396200921766,3.396893753506207,3.180000000000007
6,981206,981334,0,-4.716146917698111,-7.74387744777475,-3.027730530076596,-2.6862807094491004,-1.6550723649292252,-6.815467402076056,2.601395771459458,-2.5700000000000074
6,981334,981206,1,4.716146917698111,7.74387744777475,3.027730530076596,2.6862807094491004,1.6550723649292252,6.815467402076056,-2.601395771459458,2.5700000000000074
6,981356,981306,1,7.475990628209416,-1.6706868768782712,-9.146677505087695,-3.127678092268276,-0.9431757961169502,-5.923343811190174,0.15470938343679386,-7.0449999999999875
6,979770,979952,0,4.405138864696616,4.402696983126354,-0.0024418815703057817,1.1942078389446777,7.369115395108324,0.00566776491145049,1.4985499492372938,-1.150555555555556
6,981288,981492,0,-3.7489254034166817,-4.752712602533649,-1.003787199116978,2.160967471484952,2.014153000995101,-0.6603279563603976,4.329335370093094,-1.7194444444444485
6,979919,979912,1,5.711250523148938,6.020871898233928,0.30962137508494436,5.3929593565055,-2.1541706237778726,0.37872993046845416,0.25403313237936054,2.6850000000000023
6,981208,981346,1,5.497107165226627,0.7464662804646807,-4.75064088476195,-3.4836686990527284,0.41783681961282326,2.062124499326151,-2.8455343183868766,-4.424999999999997
6,981213,981242,1,22.097449004782987,8.907164232726927,-13.190284772056124,7.520647276495325,5.321702469871173,-3.1014581596125925,0.10254388687072158,2.9250000000000114
7,981206,979971,0,-9.877688435259586,-9.031994764398164,0.8456936708614435,-5.662386512174415,3.336129754363725,-3.883576133334527,4.353806073181605,1.9439999999999884
7,979952,981206,0,4.761402186770608,2.0019528695452777,-2.759449317225325,-0.2508783666358809,-7.727478411668002,3.4211238589920026,-1.830291016135856,-1.9039999999999964
7,981242,979919,0,-9.267031472232828,-4.317478478586004,4.949552993646861,-3.663114270377477,3.742516169760762,5.658040175180094,0.8814798606243031,-3.2120000000000033
7,979988,981492,0,-7.788754218956377,-8.58311958810814,-0.794365369151798,-7.028907206512763,0.9281587126650415,-3.017958570194333,2.3205329270436916,-2.9635555555555726
7,979919,981242,1,9.267031472232828,4.317478478586004,-4.949552993646861,3.663114270377477,-3.742516169760762,-5.658040175180094,-0.8814798606243031,3.2120000000000033
7,981213,981356,1,9.911799217730316,4.263706548764439,-5.6480926689659015,7.605657405944761,5.965016371127039,7.119435776586732,1.6091105940947097,5.997777777777799
