"ID","NOM","GP","GS","MIN","PTS","T1A","T1I","T2A","T2I","T3A","T3I","OREB","DREB","TREB","ASIS","REC","PER","FC","FR","PLUSMINUS","VAL","FGM","FGA","T1%","T2%","T3%","eFG%","TS%","poss_used","PPP","PTS_pg","MIN_pg","T1A_pg","T1I_pg","T2A_pg","T2I_pg","T3A_pg","T3I_pg","OREB_pg","DREB_pg","TREB_pg","ASIS_pg","REC_pg","PER_pg","FC_pg","FR_pg","TEAM","TEAM_id"
"2827468","A. BOURGAREL APARICIO",2,0,14.33,7,0,1,2,6,1,2,0,2,2,2,4,2,1,1,-9,7,3,8,0,0.33,0.5,0.44,0.41,10.44,0.67,3.5,7.16,0,0.5,1,3,0.5,1,0,1,1,1,2,1,0.5,0.5,"FUSTECMA NBF CASTELLÓ",979988
"2829993","G. AIELLO",8,8,188.45,97,17,37,40,66,0,0,24,38,62,6,1,25,26,35,23,115,40,66,0.46,0.61,NA,0.61,0.59,107.28,0.9,12.12,23.56,2.12,4.62,5,8.25,0,0,3,4.75,7.75,0.75,0.12,3.12,3.25,4.38,"FUSTECMA NBF CASTELLÓ",979988
"1508657","V. SAEZ MORENO",9,0,154.32,36,10,14,1,11,8,22,3,7,10,10,7,11,22,10,-33,12,9,33,0.71,0.09,0.36,0.39,0.46,50.16,0.72,4,17.15,1.11,1.56,0.11,1.22,0.89,2.44,0.33,0.78,1.11,1.11,0.78,1.22,2.44,1.11,"LA CORDÁ DE PATERNA NB",981346
"1632609","C. CHE TORTOLA",15,8,376.83,106,8,13,16,32,22,70,7,34,41,46,14,39,24,18,-79,93,38,102,0.62,0.5,0.31,0.48,0.49,146.72,0.72,7.07,25.12,0.53,0.87,1.07,2.13,1.47,4.67,0.47,2.27,2.73,3.07,0.93,2.6,1.6,1.2,"LA CORDÁ DE PATERNA NB",981346
"1687305","L. SEGURA MORENO",15,15,460.4,137,24,29,16,48,27,82,26,48,74,22,17,29,27,30,-52,133,43,130,0.83,0.33,0.33,0.43,0.48,171.76,0.8,9.13,30.69,1.6,1.93,1.07,3.2,1.8,5.47,1.73,3.2,4.93,1.47,1.13,1.93,1.8,2,"LA CORDÁ DE PATERNA NB",981346
"2024557","M. BLEDA ORTEGA",8,8,196.37,53,10,18,11,25,7,36,4,7,11,19,8,19,15,16,-49,24,18,61,0.56,0.44,0.19,0.35,0.38,87.92,0.6,6.62,24.55,1.25,2.25,1.38,3.12,0.88,4.5,0.5,0.88,1.38,2.38,1,2.38,1.88,2,"LA CORDÁ DE PATERNA NB",981346
"2031045","M. GALIANA MIRALLES",15,4,159.83,36,11,17,5,30,5,18,15,35,50,5,6,12,37,14,-9,24,10,48,0.65,0.17,0.28,0.26,0.32,67.48,0.53,2.4,10.66,0.73,1.13,0.33,2,0.33,1.2,1,2.33,3.33,0.33,0.4,0.8,2.47,0.93,"LA CORDÁ DE PATERNA NB",981346
"2032313","C. SEGURA MORENO",4,0,32.28,8,0,0,1,2,2,8,0,2,2,0,0,1,5,1,-22,-2,3,10,NA,0.5,0.25,0.4,0.4,11,0.73,2,8.07,0,0,0.25,0.5,0.5,2,0,0.5,0.5,0,0,0.25,1.25,0.25,"LA CORDÁ DE PATERNA NB",981346
"2049442","I. BRONCANO AVELLANEDA",4,3,75.1,20,2,2,3,8,4,13,1,8,9,2,0,5,8,3,-32,7,7,21,1,0.38,0.31,0.43,0.46,26.88,0.74,5,18.77,0.5,0.5,0.75,2,1,3.25,0.25,2,2.25,0.5,0,1.25,2,0.75,"LA CORDÁ DE PATERNA NB",981346
"2071471","P. SARAVIA LOGROÑO",14,8,351.8,151,25,31,27,57,24,79,11,21,32,14,12,35,40,24,-39,69,51,136,0.81,0.47,0.3,0.46,0.5,184.64,0.82,10.79,25.13,1.79,2.21,1.93,4.07,1.71,5.64,0.79,1.5,2.29,1,0.86,2.5,2.86,1.71,"LA CORDÁ DE PATERNA NB",981346
"2163606","C. SANCHO MAURI",14,4,118.33,28,8,14,7,10,2,8,3,6,9,2,4,5,26,10,-56,7,9,18,0.57,0.7,0.25,0.56,0.58,29.16,0.96,2,8.45,0.57,1,0.5,0.71,0.14,0.57,0.21,0.43,0.64,0.14,0.29,0.36,1.86,0.71,"LA CORDÁ DE PATERNA NB",981346
"2173687","M. LLOMPART PERELLO",15,9,367.32,152,44,66,39,116,10,46,14,47,61,47,18,35,29,75,-59,157,49,162,0.67,0.34,0.22,0.33,0.4,226.04,0.67,10.13,24.49,2.93,4.4,2.6,7.73,0.67,3.07,0.93,3.13,4.07,3.13,1.2,2.33,1.93,5,"LA CORDÁ DE PATERNA NB",981346
"2230288","S. DAVILA DIAZ DE ILARRAZA",8,1,122.45,23,1,2,5,12,4,16,18,21,39,5,4,9,17,3,-31,30,9,28,0.5,0.42,0.25,0.39,0.4,37.88,0.61,2.88,15.31,0.12,0.25,0.62,1.5,0.5,2,2.25,2.62,4.88,0.62,0.5,1.12,2.12,0.38,"LA CORDÁ DE PATERNA NB",981346
"2561096","A. PRIM GIRO",7,0,38,13,0,0,2,3,3,7,0,6,6,6,2,2,3,3,20,20,5,10,NA,0.67,0.43,0.65,0.65,12,1.08,1.86,5.43,0,0,0.29,0.43,0.43,1,0,0.86,0.86,0.86,0.29,0.29,0.43,0.43,"LA CORDÁ DE PATERNA NB",981346
"2653963","A. TRAORE",15,5,318.08,119,19,31,47,85,2,6,36,86,122,6,19,36,47,40,-62,171,49,91,0.61,0.55,0.33,0.55,0.57,140.64,0.85,7.93,21.21,1.27,2.07,3.13,5.67,0.13,0.4,2.4,5.73,8.13,0.4,1.27,2.4,3.13,2.67,"LA CORDÁ DE PATERNA NB",981346
