"EQUIPO","TEAM","Jornada","POS","PosesionesTEAM","OER","DER","NET","eFG","ORB","AST","TOV","PPP","PTS","T1A","T1I","T1P","T2A","T2I","T2P","T3A","T3I","T3P","FC","FR","ASIS","PER","REC","MAT","OREB","DREB","TREB","RESULTAT","RIVAL","Rival_idR","TEAM_id"
6,"RECOLETAS ZAMORA","J2",76.08,76.9,93.32,103.84,-10.52,45,14.29,10.57,19.72,83.41,71,17,23,73.91,18,32,56.25,6,28,21.43,21,21,9,15,6,0,5,26,31,"L","OSES CONSTRUCCION",979971,979919
6,"RECOLETAS ZAMORA","J3",73.68,72.7,105.86,107.22,-1.36,51.82,33.33,7.08,23.07,92.02,78,21,29,72.41,18,38,47.37,7,17,41.18,22,26,6,17,10,0,9,23,32,"L","CELTA  FEMXA ZORKA",981492,979919
6,"RECOLETAS ZAMORA","J4",77.8,74,84.83,92.54,-7.71,37.7,10.53,11.09,12.85,81.36,66,20,23,86.96,20,42,47.62,2,19,10.53,24,20,9,10,11,0,4,20,24,"L","VEGA LAGUNERA TOYOTA  ADAREVA TENERIFE",979952,979919
6,"RECOLETAS ZAMORA","J5",80.46,78.8,98.19,75.81,22.37,41.43,28.89,19.98,13.67,83.09,79,21,32,65.62,20,48,41.67,6,22,27.27,16,24,19,11,18,0,13,24,37,"W","LA CORDÁ DE PATERNA NB",981346,979919
6,"RECOLETAS ZAMORA","J6",73.94,73,71.68,63.57,8.11,35.83,15.79,7.31,20.29,64.6,53,10,16,62.5,14,32,43.75,5,28,17.86,18,19,6,15,12,0,6,22,28,"W","DOMUSA TEKNIK ISB",979912,979919
6,"RECOLETAS ZAMORA","J7",72.86,71.2,96.07,87.84,8.23,42.37,14.71,15.17,13.72,88.47,70,20,23,86.96,19,46,41.3,4,13,30.77,15,18,12,10,9,0,5,22,27,"W","C.B. SANTFELIUENC",981242,979919
6,"RECOLETAS ZAMORA","J8",75.62,71.8,84.63,80.67,3.97,39.42,22.58,11.01,22.48,78.28,64,23,29,79.31,13,32,40.62,5,20,25,22,25,9,17,6,0,7,28,35,"W","BOSONIT UNIBASKET",981356,979919
6,"RECOLETAS ZAMORA","J9",69.05,79.3,98.48,110.07,-11.59,36.43,25.58,18.17,18.83,72.68,68,17,24,70.83,21,45,46.67,3,25,12,24,22,17,13,6,0,11,20,31,"L","UNICAJA MIJAS",981334,979919
6,"RECOLETAS ZAMORA","J10",78.74,74.8,120.65,78.74,41.91,67.54,18.52,21.72,17.78,114.62,95,18,27,66.67,22,34,64.71,11,23,47.83,20,21,18,14,17,0,5,23,28,"W","CAJASOL BALONCESTO SEVILLA FEMENINO",981306,979919
6,"RECOLETAS ZAMORA","J11",74.88,77.5,85.47,96.15,-10.68,38.89,18.18,13.84,18.7,73.83,64,15,22,68.18,14,43,32.56,7,20,35,26,20,12,14,7,0,6,19,25,"L","AZULMARINO MALLORCA PALMA",981213,979919
6,"RECOLETAS ZAMORA","J12",77.1,74.3,106.36,71.34,35.02,53.45,31.03,11.57,22.05,94.86,82,20,26,76.92,22,44,50,6,14,42.86,22,22,10,17,11,0,9,24,33,"W","MCR LIMA-HORTA BARCELONA",981206,979919
6,"RECOLETAS ZAMORA","J13",70.28,70.3,75.41,81.1,-5.69,36.89,35.14,12.75,28.46,61.43,53,8,12,66.67,15,38,39.47,5,23,21.74,18,13,11,20,8,0,13,28,41,"L","ALTER ENERSUN AL-QÁZERES EXTREMADURA",981208,979919
6,"RECOLETAS ZAMORA","J14",71.02,68.8,101.38,78.85,22.53,47.27,17.65,19.31,18.3,92.69,72,20,22,90.91,11,28,39.29,10,27,37.04,22,21,15,13,10,0,6,20,26,"W","MELILLA CIUDAD DEL DEPORTE LA SALLE",979770,979919
6,"RECOLETAS ZAMORA","J15",66.98,65.4,95.55,92.56,2.99,44.92,26.67,13.13,16.42,84.03,64,11,14,78.57,19,36,52.78,5,23,21.74,19,14,10,11,9,0,8,21,29,"W","SERNOVA RENOVABLES REAL CANOE",981288,979919
7,"ALTER ENERSUN AL-QÁZERES EXTREMADURA","J1",74.22,70,101.05,88.92,12.13,54.84,20,21.53,17.52,94.98,75,7,9,77.78,22,40,55,8,22,36.36,20,14,17,13,11,0,6,23,29,"W","SERNOVA RENOVABLES REAL CANOE",981288,981208
7,"ALTER ENERSUN AL-QÁZERES EXTREMADURA","J2",74.84,74.3,96.21,89.52,6.68,49.09,13.79,22.1,20.04,88.41,72,18,26,69.23,15,28,53.57,8,27,29.63,17,24,18,15,12,0,4,24,28,"W","FUSTECMA NBF CASTELLÓ",979988,981208
7,"ALTER ENERSUN AL-QÁZERES EXTREMADURA","J3",69.66,68.9,76.08,122.02,-45.94,35.38,48.84,15.1,31.58,57.16,53,7,13,53.85,17,44,38.64,4,21,19.05,14,17,14,22,6,0,21,19,40,"L","OSES CONSTRUCCION",979971,981208
7,"ALTER ENERSUN AL-QÁZERES EXTREMADURA","J4",75.58,72.5,76.74,88.65,-11.91,31.88,21.62,13.18,9.26,69.48,58,14,17,82.35,16,44,36.36,4,25,16,20,22,11,7,5,0,8,25,33,"L","CELTA  FEMXA ZORKA",981492,981208
7,"ALTER ENERSUN AL-QÁZERES EXTREMADURA","J5",68.88,67.7,110.34,91.46,18.87,50.86,27.59,16.56,18.87,96.84,76,17,17,100,19,35,54.29,7,23,30.43,16,14,13,13,5,0,8,21,29,"W","LA LAGUNA TOYOTA  ADAREVA",979952,981208
7,"ALTER ENERSUN AL-QÁZERES EXTREMADURA","J6",72.6,72.8,103.31,95.04,8.26,47.62,38.24,14.64,23.42,84.46,75,15,20,75,12,29,41.38,12,34,35.29,16,22,13,17,10,0,13,22,35,"W","LA CORDÁ DE PATERNA NB",981346,981208
7,"ALTER ENERSUN AL-QÁZERES EXTREMADURA","J7",74.78,73.8,88.26,100.29,-12.04,44.53,23.68,13.98,22.73,76.89,66,9,11,81.82,18,40,45,7,24,29.17,15,15,12,17,12,0,9,20,29,"L","DOMUSA TEKNIK ISB",979912,981208
7,"ALTER ENERSUN AL-QÁZERES EXTREMADURA","J8",74.04,70.6,94.54,76.99,17.56,44.92,23.53,18.39,16.21,85.83,70,17,24,70.83,19,37,51.35,5,22,22.73,9,23,15,12,4,0,8,30,38,"W","C.B. SANTFELIUENC",981242,981208
